Issue,Source,Component,Action,Actor
Audio and Video Not in Sync,Realtime Monitor,Commercial,Scheduled Commercial is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Realtime Monitor,Media,Scheduled Media is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Field,Program,Scheduled Program is playing without audio and video sync. Amagi support team are getting more details and will keep you updated,Amagi Support
Audio and Video Not in Sync,Field,Promo,Scheduled Promo is playing without audio and video sync. Amagi support team are getting more details and will keep you updated,Amagi Support
Audio and Video Not in Sync,Field,Commercial,Scheduled Commercial is playing without audio and video sync. Amagi support team are getting more details and will keep you updated,Amagi Support
Audio and Video Not in Sync,Field,Media,Scheduled Media is playing without audio and video sync. Amagi support team are getting more details and will keep you updated,Amagi Support
Audio Track Issue,Advance Monitor,Audio,Current playing Audio track is not in sync with server configuration. Please analyze and update Customer as necessary,Amagi Support
Audio Track Issue,Realtime Monitor,Audio,Current playing Audio track is not in sync with server configuration. Please analyze and update Customer as necessary,Amagi Support
Audio Track Issue,Field,Audio,Current playing Audio track is not in sync with server configuration. Amagi support team are getting more details and will keep you updated,Amagi Support
Subtitle Not in Sync,Advance Monitor,Subtitle,Subtitle is not in sync with Video. It could be a timecode issue. Please analyze and update Customer,Subtitle Ingest
Subtitle Not in Sync,Realtime Monitor,Subtitle,Subtitle is not in sync with Video. It could be a timecode issue. Please analyze and update Customer,Subtitle Ingest
Subtitle Not in Sync,Field,Subtitle,Subtitle is not in sync with Video. It could be a timecode issue. Amagi support team are getting more details and will keep you updated,Subtitle Ingest
Incorrect Subtitle Language,Advance Monitor,Subtitle,Subtitle language is not in sync with server configuration. Please analyze and update Customer,Subtitle Ingest
Incorrect Subtitle Language,Realtime Monitor,Subtitle,Subtitle language is not in sync with server configuration. Please analyze and update Customer,Subtitle Ingest
Incorrect Subtitle Language,Field,Subtitle,Subtitle language is not in sync with server configuration. Amagi support team are getting more details and will keep you updated,Subtitle Ingest
